work_order_id,customer,site_id,city,state,issue,technician,status,priority,created_date,safety_escalation,notes,estimated_hours
1045,Fake Energy Company,045,Greensboro,NC,HVAC sensor calibration,Nina Patel,Closed,P5,2026-06-15 14:00,No,Sensor calibration completed successfully,1
1046,Fake Energy Company,046,San Diego,CA,Pad-mounted transformer repair,Carlos Reyes,Open,P1,2026-07-01 07:00,Yes,Transformer repair needed after fault indicator,4
1047,Fake Energy Company,047,Los Angeles,CA,Backup battery replacement,Maya Torres,Open,P3,2026-07-01 10:00,No,Battery string failed monthly runtime test,2
1048,Fake Energy Company,048,Denver,CO,Substation door sensor issue,Owen Miller,In Progress,P5,2026-07-02 09:00,No,Door sensor intermittently reporting open,1
1049,Fake Energy Company,049,Phoenix,AZ,Panel breaker temperature warning,Jordan Patel,Open,P1,2026-07-02 11:00,Yes,Breaker temperature warning requires same-day response,3
1050,Fake Energy Company,050,Las Vegas,NV,UPS bypass alarm,Sienna Wright,Open,P2,2026-07-03 08:30,Yes,UPS bypass alarm active after power event,3
1051,Fake Energy Company,051,Salt Lake City,UT,Fiber demarc inspection,Grace Hall,Closed,P6,2026-07-03 13:00,No,Demarc inspection completed and documented,1
1052,Fake Energy Company,052,Miami,FL,Site controller firmware issue,Sofia Bennett,Open,P3,2026-07-04 09:00,No,Firmware issue causing intermittent telemetry gaps,2
1053,Fake Energy Company,053,New York,NY,Emergency generator fault,Amelia Brooks,In Progress,P1,2026-07-04 12:00,Yes,Generator fault displayed during scheduled test,4
1054,Fake Energy Company,054,Atlanta,GA,Battery cabinet ventilation issue,Naomi Price,Open,P2,2026-07-05 07:30,Yes,Ventilation issue reported by site contact,2
1055,Fake Energy Company,055,Raleigh,NC,SCADA communication outage,Chris Morgan,Open,P1,2026-07-05 09:00,Yes,SCADA communication outage requires immediate triage,4
1056,Fake Energy Company,056,Oakland,CA,Network handoff packet loss,Marcus Lee,Open,P4,2026-07-06 10:00,No,Packet loss observed during provider handoff test,1
1057,Fake Energy Company,057,Boulder,CO,Voltage monitor replacement,Harper Scott,Closed,P6,2026-07-06 14:00,No,Voltage monitor replaced and verified,1
1058,Fake Energy Company,058,Tempe,AZ,Meter antenna alignment,Ariana Lopez,Open,P5,2026-07-07 08:00,No,Antenna alignment needed for weak meter signal,1
1059,Fake Energy Company,059,Tampa,FL,Generator oil pressure alert,Victor Ramos,Open,P2,2026-07-07 11:00,Yes,Oil pressure alert occurred during load test,2
1060,Fake Energy Company,060,Durham,NC,Panel labeling audit,Nina Patel,Open,P6,2026-07-08 09:30,No,Panel labels need audit against updated drawings,1
